Date,Content
2021-04-08 4:16,"Miner payment: 0.0403 ETH (108 GWEI @ 370,407 gas [2])
0xaE9e..1a5D
https://etherscan.io/tx/0x10b5d8a85902e96939286619a058c4963e48d7d229b580717f75655d92528397
Miner: Sparkpool"
2021-04-08 4:17,"Miner payment: 0.0797 ETH (323 GWEI @ 246,703 gas [3])
0x57D7..7e91
https://etherscan.io/tx/0xc03407d819a292d81734e6c066b3c8d2566fcff52876a43f069ca149aa3a53ae
Miner: UUPool"
2021-04-08 4:17,"Miner payment: 0.0522 ETH (211 GWEI @ 246,703 gas [3])
0x57D7..7e91
https://etherscan.io/tx/0x165d0de4105230fccd1d0e660928b8864adada38582fad08b756b2951f1b4bb9
Miner: Sparkpool"
2021-04-08 4:18,"Miner payment: 0.0462 ETH (201 GWEI @ 230,195 gas [3])
0x2222..2222
https://etherscan.io/tx/0x6aa514105d3f9c9b6ca7d23480cbdd4434eb21e0991a461cefbe3318bf216000
Miner: 0x00192Fb10dF37c9FB26829eb2CC623cd1BF599E8"
2021-04-08 4:20,"Miner payment: 0.049 ETH (234 GWEI @ 209,220 gas [2])
0xa57B..d6CF
https://etherscan.io/tx/0x4861bfa80496c17567940db630def6b62af220f03814822b90ac2743e663b9bb
Miner: SpiderPool"
2021-04-08 4:21,"Miner payment: 0.0706 ETH (154 GWEI @ 457,308 gas [4])
0xB38A..3098
https://etherscan.io/tx/0xf3b022f6b31ade4c024cbae1f9bb9bd6bc43766e1795b8b7e8f0062aa249696f
Miner: Sparkpool"
2021-04-08 4:21,"Miner payment: 0.2995 ETH (1,202 GWEI @ 248,973 gas [3])
0x0000..9241
https://etherscan.io/tx/0xabd19383111a14e77fe32da9e6a5270219f450bc2e3b8a7b7d648ad9c7f08450
Miner: 0xc8F595E2084DB484f8A80109101D58625223b7C9"
2021-04-08 4:22,"Miner payment: 0.0791 ETH (378 GWEI @ 209,244 gas [2])
0xa57B..d6CF
https://etherscan.io/tx/0xf5a7db3c223655b45db3b3565c62f6041f4847cf02f7b1da489f8e23927d1818
Miner: 0xc8F595E2084DB484f8A80109101D58625223b7C9"
2021-04-08 4:23,"Miner payment: 0.0363 ETH (151 GWEI @ 239,706 gas [3])
0x57D7..7e91
https://etherscan.io/tx/0x90c7c2b1a6ebea9547a8dd3a9b2d487187e949dbcb3cfac078e33be0d4480bf4
Miner: f2pool"
2021-04-08 4:23,"Miner payment: 0.0941 ETH (252 GWEI @ 373,446 gas [3])
0x0000..9241
https://etherscan.io/tx/0xc41799011d1b431c1060296a97c83906953cd9fafd18a10d472fa81226184bc2
Miner: Sparkpool"
2021-04-08 4:25,"Miner payment: 0.1536 ETH (511 GWEI @ 300,448 gas [2])
0xcd3c..Bd70
https://etherscan.io/tx/0xe52ae766e72fdd8ffcddcc2e488db03bb1eca04e49dc036fb6dfe7133f768e80
Miner: 0xc8F595E2084DB484f8A80109101D58625223b7C9"
2021-04-08 4:25,"Miner payment: 0.0754 ETH (313 GWEI @ 240,599 gas [2])
0xcd3c..Bd70
https://etherscan.io/tx/0xce157725a38e3f70db615a46865ffc939888c274fa62b3d1a467c5a937df7fd3
Miner: 0x00192Fb10dF37c9FB26829eb2CC623cd1BF599E8"
